team,cross_point,goal_point,shoot_point,dribble_point,pass_point,attack
横浜F・マリノス,25.45,47.98,84.18,11.7,143.1,180.25
浦和レッズ,22.88,23.71,77.92,11.09,112.26,146.23
アビスパ福岡,21.06,8.56,43.92,11.93,78.9,111.9
鹿島アントラーズ,18.57,35.24,74.36,15.67,106.93,141.17
サガン鳥栖,17.72,20.37,37.5,6.85,111.7,136.28
サンフレッチェ広島,17.24,23.41,64.61,13.38,116.17,146.79
ジュビロ磐田,16.74,35.17,46.28,5.07,103.16,124.97
柏レイソル,16.56,26.28,65,10.71,96.01,123.29
ヴィッセル神戸,16.1,12.22,71.36,13.68,139.85,169.63
北海道コンサドーレ札幌,15.65,18.32,51.37,14.45,109.16,139.26
セレッソ大阪,15.06,33.75,59.07,5.8,87.6,108.46
川崎フロンターレ,14.43,41.9,72.63,7.71,165.64,187.78
湘南ベルマーレ,14.15,13.89,46.36,8.39,89.48,112.01
京都サンガF.C,13.52,34.59,52.8,11.43,81.58,106.53
ガンバ大阪,13.43,42.72,49.42,9.43,93.78,116.64
清水エスパルス,12.7,23.32,52.34,9.87,85.92,108.48
FC東京,12.24,25.36,38.75,7.73,74.74,94.72
名古屋グランパス,10.84,8.57,52.88,7.32,78.93,97.09
