建築年代,構造,被害度合,割合
1981年5月,木造,無被害,0.05
1981年5月,木造,軽微,0.49
1981年5月,木造,大破,0.18
1981年5月,木造,倒壊,0.28
1981年6月?2000年5月,木造,無被害,0.2
1981年6月?2000年5月,木造,軽微,0.61
1981年6月?2000年5月,木造,大破,0.1
1981年6月?2000年5月,木造,倒壊,0.09
2000年6月?,木造,無被害,0.61
2000年6月?,木造,軽微,0.33
2000年6月?,木造,大破,0.04
2000年6月?,木造,倒壊,0.02
1981年5月,S造,無被害,0.45
1981年5月,S造,軽微,0.39
1981年5月,S造,大破,0.09
1981年5月,S造,倒壊,0.07
1981年6月?2000年5月,S造,無被害,0.54
1981年6月?2000年5月,S造,軽微,0.36
1981年6月?2000年5月,S造,大破,0.07
1981年6月?2000年5月,S造,倒壊,0.03
2000年6月?,S造,無被害,0.74
2000年6月?,S造,軽微,0.21
2000年6月?,S造,大破,0.03
2000年6月?,S造,倒壊,0.02
1981年5月,RC造,無被害,0.33
1981年5月,RC造,軽微,0.54
1981年5月,RC造,大破,0
1981年5月,RC造,倒壊,0.13
1981年6月?2000年5月,RC造,無被害,0.89
1981年6月?2000年5月,RC造,軽微,0.11
1981年6月?2000年5月,RC造,大破,0
1981年6月?2000年5月,RC造,倒壊,0
2000年6月?,RC造,無被害,0
2000年6月?,RC造,軽微,0
2000年6月?,RC造,大破,0
2000年6月?,RC造,倒壊,0
1981年5月,混構造,無被害,0.2
1981年5月,混構造,軽微,0.6
1981年5月,混構造,大破,0.2
1981年5月,混構造,倒壊,0
1981年6月?2000年5月,混構造,無被害,0.19
1981年6月?2000年5月,混構造,軽微,0.63
1981年6月?2000年5月,混構造,大破,0.12
1981年6月?2000年5月,混構造,倒壊,0.06
2000年6月?,混構造,無被害,0
2000年6月?,混構造,軽微,1
2000年6月?,混構造,大破,0
2000年6月?,混構造,倒壊,0
1981年5月,その他,無被害,0
1981年5月,その他,軽微,0.67
1981年5月,その他,大破,0.33
1981年5月,その他,倒壊,0
1981年6月?2000年5月,その他,無被害,0.57
1981年6月?2000年5月,その他,軽微,0.29
1981年6月?2000年5月,その他,大破,0.14
1981年6月?2000年5月,その他,倒壊,0
2000年6月?,その他,無被害,0.91
2000年6月?,その他,軽微,0.09
2000年6月?,その他,大破,0
2000年6月?,その他,倒壊,0
