Height,Weight,HomeRun,StrikeOut,Steal
173,85,21,26,0
170,85,11,65,5
190,104,32,116,3
188,87,28,122,6
171,85,11,84,4
172,75,10,70,24
175,102,18,114,0
180,88,9,90,12
176,82,8,94,3
175,79,10,51,3
178,78,21,90,7
167,69,1,52,9
181,83,9,62,8
179,75,2,67,24
182,90,18,96,1
185,98,29,109,0
171,75,14,107,6
180,75,21,87,2
178,77,3,95,10
177,85,4,58,1
183,82,5,115,8
168,69,3,65,5
175,83,8,59,1
178,75,10,70,3
189,91,27,132,4
181,79,3,99,24
186,94,10,101,2
170,85,12,142,6
180,74,10,99,6
181,98,38,88,9
176,86,12,60,4
178,93,22,85,2
171,67,10,58,24
174,78,14,75,12
178,88,17,73,0
172,85,16,53,0
178,84,5,57,4
176,75,1,60,16
176,79,12,70,3
175,78,2,61,6
176,83,2,66,0
179,76,14,156,21
188,97,39,133,12
171,68,16,86,1
185,108,17,56,1
173,74,12,100,15
171,69,1,81,30
180,76,34,100,4
186,86,19,90,2
177,94,23,120,5
185,96,39,108,1
181,89,21,89,2
180,85,5,79,1
188,106,13,80,3
185,102,22,72,0
175,80,9,44,0
184,88,3,75,6
193,102,20,89,1
187,94,24,173,6
185,97,21,116,0
173,75,3,107,8
